190432;Oier Sanjurjo Maté;Oier Sanjurjo Mate;34;CDM CM;Right;280;145;178;72;6;€28.5K;€3.6M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190432.png?v=22;
190815;Daley Blind;Daley Blind;30;CB CDM LB;Left;21;155;180;72;17;€22.5K;€25M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190815.png?v=22;
190577;Sebastián Blanco;Sebastian Blanco;32;LM CF;Right;305;126;168;68;10;€9.7K;€8.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190577.png?v=22;
193116;Maxime Gonalons;Maxime Gonalons;31;CDM CM;Right;277;97;187;76;4;€24.5K;€7.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p193116.png?v=22;
229880;Aaron Wan-Bissaka;Aaron Wan-Bissaka;22;RB RWB;Right;7;138;183;72;29;€115K;€49.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p229880.png?v=22;
193469;Víctor Ruiz;Victor Ruiz;31;CB;Left;226;145;185;78;6;€22K;€7M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p193469.png?v=22;
20801;Cristiano Ronaldo;Cristiano Ronaldo;35;ST LW;Right;1;32;187;83;7;€220K;€63M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p20801.png?v=22;
201454;Faouzi Ghoulam;Faouzi Ghoulam;29;LB;Left;66;85;184;80;31;€53K;€9.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p201454.png?v=22;
230234;Everton Andrão;Everton Andrao;24;CDM CM;Right;27;56;177;75;18;€23K;€18M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p230234.png?v=22;
201976;Alfred Gomis;Alfred Gomis;26;GK;Right;233;116;196;80;16;€32K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p201976.png?v=22;
229752;Djibril Sow;Djibril Sow;23;CM CDM;Right;22;44;184;76;8;€24.5K;€16M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p229752.png?v=22;
202851;Gregoire Defrel;Gregoire Defrel;29;CAM ST LW;Left;490;97;179;77;92;€34K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p202851.png?v=22;
222134;Tarek Hamed;Tarek Hamed;31;CDM CM;Right;0;60;169;67;8;€35.5K;€5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p222134.png?v=22;
204691;Mauricio Pereyra;Mauricio Pereyra;30;CAM CM RM;Right;140;50;170;66;10;€9.7K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p204691.png?v=22;
188335;Ante Budimir;Ante Budimir;28;ST;Left;280;3;190;75;17;€35K;€11M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p188335.png?v=22;
222709;Petros Matheus dos Santos Araujo;Petros Matheus dos Santos Araujo;31;CM CDM;Right;159;56;181;77;6;€39K;€8.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p222709.png?v=22;
230475;Adilson Edrada;Adilson Edrada;28;CAM;Right;171;56;176;72;11;€27K;€7.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p230475.png?v=22;
241721;Rafael Leão;Rafael Leao;21;LM ST;Right;19;32;188;81;17;€25.5K;€15M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p241721.png?v=22;
179813;Edinson Cavani;Edinson Cavani;33;ST;Right;7;50;185;77;7;€175K;€27M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p179813.png?v=22;
198719;Nathan Redmond;Nathan Redmond;26;LM;Right;220;138;173;69;11;€52K;€11.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p198719.png?v=22;
184087;Toby Alderweireld;Toby Alderweireld;31;CB;Right;16;117;186;81;4;€120K;€29M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p184087.png?v=22;
193082;Juan Cuadrado;Juan Cuadrado;32;RB RM;Right;1;73;179;72;16;€86K;€21M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p193082.png?v=22;
241461;Ferrán Torres;Ferran Torres;20;RW LW ST;Right;18;145;184;77;21;€110K;€56.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p241461.png?v=22;
229773;Georgiy Dzhikiya;Georgiy Dzhikiya;26;CB;Left;80;33;188;86;14;€22.5K;€11.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p229773.png?v=22;
205364;Filip Novák;Filip Novak;30;LB;Left;33;21;184;78;37;€54K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p205364.png?v=22;
199745;Erik Sviatchenko;Erik Sviatchenko;28;CB;Right;179;15;184;82;28;€26K;€6.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p199745.png?v=22;
176676;Marcelo;Marcelo;32;LB;Left;6;56;174;75;12;€155K;€21M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p176676.png?v=22;
213655;Alex Iwobi;Alex Iwobi;24;RM LW;Right;64;30;185;75;17;€61K;€13.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p213655.png?v=22;
204529;Michy Batshuayi;Michy Batshuayi;26;ST;Right;337;117;184;78;23;€53K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p204529.png?v=22;
189251;Sebastian Rudy;Sebastian Rudy;30;CM CDM RB;Right;676;94;180;74;16;€34K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p189251.png?v=22;
186153;Wojciech Szczesny;Wojciech Szczesny;30;GK;Right;1;83;195;90;1;€105K;€53M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p186153.png?v=22;
241096;Sandro Tonali;Sandro Tonali;20;CDM CM;Right;19;70;181;79;8;€24.5K;€22M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p241096.png?v=22;
235619;Marcus Edwards;Marcus Edwards;21;RW;Left;209;138;168;65;7;€9.3K;€17M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p235619.png?v=22;
212218;Aymeric Laporte;Aymeric Laporte;26;CB;Left;18;145;191;85;14;€185K;€79M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p212218.png?v=22;
215119;Lucas Romero;Lucas Romero;26;CDM CM;Right;47;126;167;70;29;€17K;€8M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p215119.png?v=22;
199206;Domagoj Vida;Domagoj Vida;31;CB RB;Right;26;3;184;76;24;€54K;€7M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p199206.png?v=22;
208364;Clinton Mukoni Mata Pedro Lourenço;Clinton Mukoni Mata Pedro Lourenco;27;RB CB;Right;146;41;180;73;77;€25.5K;€13.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p208364.png?v=22;
169115;Andrea Masiello;Andrea Masiello;34;CB;Right;292;70;184;82;55;€15K;€1.8M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p169115.png?v=22;
195479;James Tavernier;James Tavernier;28;RB;Right;79;138;180;75;2;€49.5K;€9.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p195479.png?v=22;
239053;Federico Valverde;Federico Valverde;21;CM;Right;6;50;182;78;15;€135K;€58M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p239053.png?v=22;
245295;Edgar Manuel Guichón;Edgar Manuel Guichon;32;LB LM;Left;0;50;168;65;3;€64K;€12M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p245295.png?v=22;
227236;André-Franck Zambo Anguissa;Andre-Franck Zambo Anguissa;24;CM CDM;Right;302;48;184;78;29;€71K;€11.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p227236.png?v=22;
204341;Luís Carlos Novo Neto;Luis Carlos Novo Neto;32;CB;Right;76;32;185;73;13;€13K;€7M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p204341.png?v=22;
244470;Vladimír Coufal;Vladimir Coufal;27;RB RWB;Right;72;21;175;76;5;€43K;€17M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p244470.png?v=22;
210047;Fabian Schär;Fabian Schar;28;CB;Right;73;44;188;84;5;€35.5K;€7M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p210047.png?v=22;
190143;José Ángel Valdés Díaz;Jose Angel Valdes Diaz;30;LB;Left;271;145;182;77;15;€25.5K;€9M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190143.png?v=22;
190765;Pascal Groß;Pascal Groß;29;CM RM CAM;Right;164;94;181;78;13;€53K;€7.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190765.png?v=22;
190544;Adem Ljajić;Adem Ljajic;28;CAM CM LM;Right;26;54;182;74;22;€62K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p190544.png?v=22;
184344;Leonardo Bonucci;Leonardo Bonucci;33;CB;Right;1;70;190;85;19;€105K;€20M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p184344.png?v=22;
230020;Pierre Lees-Melou;Pierre Lees-Melou;27;CM;Right;236;97;186;70;8;€35K;€12M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p230020.png?v=22;
181291;Georginio Wijnaldum;Georginio Wijnaldum;29;CM CDM;Right;9;155;175;69;5;€135K;€41M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p181291.png?v=22;
189596;Thomas Müller;Thomas Muller;30;CAM RM RW;Right;5;94;185;76;25;€140K;€77M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p189596.png?v=22;
168621;Zeca;Zeca;31;CM CDM;Right;84;149;182;67;10;€20K;€4.6M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p168621.png?v=22;
201042;Djibril Sidibé;Djibril Sidibe;27;RB;Right;135;97;182;71;29;€42.5K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p201042.png?v=22;
1179;Gianluigi Buffon;Gianluigi Buffon;42;GK;Right;1;70;192;92;77;€41K;€775K;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p1179.png?v=22;
203177;Dimitri Foulquier;Dimitri Foulquier;27;RB RM LB;Right;277;97;183;78;2;€24.5K;€10M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p203177.png?v=22;
223061;Franco Cervi;Franco Cervi;26;LM;Left;43;126;165;62;11;€14.5K;€12.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p223061.png?v=22;
220697;James Maddison;James Maddison;23;CAM CM;Right;122;138;175;73;10;€89K;€43.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p220697.png?v=22;
180206;Miralem Pjanic;Miralem Pjanic;30;CM;Right;4;135;178;72;8;€170K;€29M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p180206.png?v=22;
220834;Marco Asensio;Marco Asensio;24;RW LW;Left;6;145;182;76;11;€160K;€41.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p220834.png?v=22;
208618;Lucas Vázquez;Lucas Vazquez;29;RW RB RM;Right;6;145;173;70;17;€165K;€20.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p208618.png?v=22;
222515;Zinedine Ferhat;Zinedine Ferhat;27;LM RM;Right;591;85;183;77;10;€25K;€11M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p222515.png?v=22;
215160;Fabrizio Angileri;Fabrizio Angileri;26;LB LWB;Left;39;126;184;84;3;€20.5K;€8M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p215160.png?v=22;
192678;Enrique García Martínez;Enrique Garcia Martinez;30;ST;Right;271;145;186;79;17;€30.5K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p192678.png?v=22;
221992;Hirving Lozano;Hirving Lozano;24;RW LW;Right;66;104;175;70;11;€71K;€35M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p221992.png?v=22;
183907;Jérôme Boateng;Jerome Boateng;31;CB;Right;5;94;190;94;17;€98K;€29M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p183907.png?v=22;
